Entity,Year,Life expectancy - Type: period - Sex: both - Age: 0
Sweden,1751,38.43
Sweden,1752,35.41
Sweden,1753,39.74
Sweden,1754,37.5
Sweden,1755,36.58
Sweden,1756,36.25
Sweden,1757,33.81
Sweden,1758,32.92
Sweden,1759,38.21
Sweden,1760,39.71
Sweden,1761,37.83
Sweden,1762,32.49
Sweden,1763,30.46
Sweden,1764,36.3
Sweden,1765,35.99
Sweden,1766,38.11
Sweden,1767,38.23
Sweden,1768,35.05
Sweden,1769,34.71
Sweden,1770,36.66
Sweden,1771,35.43
Sweden,1772,27.73
Sweden,1773,17.99
Sweden,1774,40.58
Sweden,1775,38.15
Sweden,1776,41.51
Sweden,1777,38.13
Sweden,1778,35.56
Sweden,1779,32.82
Sweden,1780,42.68
Sweden,1781,37.81
Sweden,1782,36.66
Sweden,1783,33.72
Sweden,1784,31.44
Sweden,1785,33.48
Sweden,1786,37.9
Sweden,1787,40.27
Sweden,1788,36.82
Sweden,1789,31.23
Sweden,1790,33.6
Sweden,1791,38.45
Sweden,1792,39.84
Sweden,1793,39.64
Sweden,1794,40.41
Sweden,1795,36.55
Sweden,1796,38.88
Sweden,1797,40.37
Sweden,1798,41.34
Sweden,1799,39.34
Sweden,1800,32.19
Sweden,1801,36.91
Sweden,1802,40.18
Sweden,1803,40.24
Sweden,1804,39.7
Sweden,1805,41.05
Sweden,1806,36.2
Sweden,1807,38.77
Sweden,1808,30.19
Sweden,1809,26.91
Sweden,1810,31.99
Sweden,1811,34.59
Sweden,1812,35.11
Sweden,1813,36.5
Sweden,1814,38.6
Sweden,1815,40.45
France,1816,40.1
Sweden,1816,41.78
France,1817,39.23
Sweden,1817,40.31
France,1818,38.6
Sweden,1818,40.02
France,1819,37.32
Sweden,1819,36.97
France,1820,39.28
Sweden,1820,40.24
France,1821,39.88
Sweden,1821,38.17
France,1822,38.37
Sweden,1822,42.77
France,1823,40.04
Sweden,1823,45.2
France,1824,39.21
Sweden,1824,44.98
France,1825,38.58
Sweden,1825,45.26
France,1826,37.8
Sweden,1826,43.11
France,1827,39.41
Sweden,1827,42.66
France,1828,37.6
Sweden,1828,37.76
France,1829,39.44
Sweden,1829,36.21
France,1830,39.63
Sweden,1830,40.98
France,1831,39.73
Sweden,1831,39
France,1832,35.87
Sweden,1832,40.85
France,1833,38.88
Sweden,1833,42.52
France,1834,35.09
Sweden,1834,38.55
Denmark,1835,38.42
France,1835,39.52
Sweden,1835,47.15
Denmark,1836,40.03
France,1836,42
Sweden,1836,45.15
Denmark,1837,41.53
France,1837,39.42
Sweden,1837,39.6
Denmark,1838,43.14
France,1838,39.37
Iceland,1838,32.54
Sweden,1838,40
Denmark,1839,41.91
France,1839,40.95
Iceland,1839,28.07
Sweden,1839,39.87
Denmark,1840,41.1
France,1840,40.41
Iceland,1840,32.08
Sweden,1840,43.98
Belgium,1841,40.34
Denmark,1841,42.67
England and Wales,1841,41.62
France,1841,40.71
Iceland,1841,40.35
Sweden,1841,45.14
Belgium,1842,38.67
Denmark,1842,42.54
England and Wales,1842,41.3
France,1842,40.03
Iceland,1842,40.23
Sweden,1842,42.8
Belgium,1843,40.38
Denmark,1843,43.91
England and Wales,1843,41.81
France,1843,40.79
Iceland,1843,25.5
Sweden,1843,42.83
Belgium,1844,41.91
Denmark,1844,44.08
England and Wales,1844,41.49
France,1844,42.33
Iceland,1844,42.97
Sweden,1844,44.01
Belgium,1845,41.05
Denmark,1845,43.4
England and Wales,1845,42.49
France,1845,43.61
Iceland,1845,41.47
Sweden,1845,45.99
Belgium,1846,37.86
Denmark,1846,40.44
England and Wales,1846,39.91
France,1846,40.7
Iceland,1846,18.68
Norway,1846,48.05
Sweden,1846,42.04
Belgium,1847,35.13
Denmark,1847,40.47
England and Wales,1847,38.29
France,1847,40.45
Iceland,1847,33.41
Norway,1847,44.77
Sweden,1847,40.14
Belgium,1848,38.05
Denmark,1848,40.82
England and Wales,1848,39.46
France,1848,40.33
Iceland,1848,41.78
Norway,1848,45.01
Sweden,1848,45.13
Belgium,1849,34.51
Denmark,1849,39.57
England and Wales,1849,37.34
France,1849,35.95
Iceland,1849,37.34
Norway,1849,48.04
Sweden,1849,44.5
Belgium,1850,42.3
Denmark,1850,43.52
England and Wales,1850,42.75
France,1850,43.31
Iceland,1850,36.74
Netherlands,1850,39.84
Norway,1850,49.52
Sweden,1850,44.69
Belgium,1851,41.91
Denmark,1851,44.53
England and Wales,1851,41.36
France,1851,41.8
Iceland,1851,30.14
Netherlands,1851,40.14
Norway,1851,49.72
Sweden,1851,43.62
Belgium,1852,41.81
Denmark,1852,43.05
England and Wales,1852,40.87
France,1852,41.35
Iceland,1852,42.15
Netherlands,1852,38.71
Norway,1852,48.47
Sweden,1852,41.35
Belgium,1853,41.35
Denmark,1853,38.57
England and Wales,1853,40.51
France,1853,42.55
Iceland,1853,48.69
Netherlands,1853,38.74
Norway,1853,47.91
Sweden,1853,39.99
Belgium,1854,39.78
Denmark,1854,44.71
England and Wales,1854,39.3
France,1854,36.16
Iceland,1854,43.16
Netherlands,1854,38.72
Norway,1854,51.62
Sweden,1854,44.53
Belgium,1855,37.46
Denmark,1855,46.15
England and Wales,1855,40.99
France,1855,37.56
Iceland,1855,38.24
Netherlands,1855,34.58
Norway,1855,50.43
Scotland,1855,42.98
Sweden,1855,43.06
Belgium,1856,40.92
Denmark,1856,46.76
England and Wales,1856,43.21
France,1856,40.19
Iceland,1856,42.41
Netherlands,1856,38.47
Norway,1856,50.35
Scotland,1856,44.32
Sweden,1856,42.12
Belgium,1857,40.48
Denmark,1857,42.48
England and Wales,1857,41.84
France,1857,39.6
Iceland,1857,39.52
Netherlands,1857,35.41
Norway,1857,50.21
Scotland,1857,43.51
Sweden,1857,34.62
Belgium,1858,40.17
Denmark,1858,40.02
England and Wales,1858,39.99
France,1858,39.71
Iceland,1858,34.88
Netherlands,1858,34.79
Norway,1858,51.57
Scotland,1858,43.05
Sweden,1858,41.99
Belgium,1859,38.97
Denmark,1859,44.4
England and Wales,1859,40.77
France,1859,35.32
Iceland,1859,29.82
Netherlands,1859,30.91
Norway,1859,49.92
Scotland,1859,43.87
Sweden,1859,44.26
Belgium,1860,45.1
Denmark,1860,45.08
England and Wales,1860,42.94
France,1860,43.35
